a2ps 4.14-12
haskell-hashable 1.4.0.2-19
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1-33
haskell-integer-logarithms 1.0.3.1-6
haskell-invariant 0.5.6-15
haskell-kan-extensions 5.2.4-13
haskell-lens 5.1.1-11
haskell-mono-traversable 1.0.15.3-60
haskell-network 3.1.2.7-27
haskell-onetuple 0.3.1-24
haskell-parallel 3.2.2.0-17
haskell-primitive 0.7.4.0-9
haskell-profunctors 5.6.2-90
haskell-random 1.2.1.1-24
haskell-reflection 2.1.6-145
haskell-resourcet 1.2.5-7
haskell-scientific 0.3.7.0-62
haskell-semigroupoids 5.3.7-41
haskell-split 0.2.3.4-194
haskell-splitmix 0.1.0.4-74
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.4-23
haskell-strict 0.4.0.1-119
haskell-tagged 0.8.6.1-5
haskell-th-abstraction 0.4.3.0-2
haskell-th-lift 0.8.2-11
haskell-these 1.1.1.1-146
haskell-transformers-base 0.4.6-51
haskell-transformers-compat 0.7.1-2
haskell-typed-process 0.2.10.1-2
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-15
haskell-vector 0.12.3.1-100
haskell-vector-algorithms 0.8.0.4-114
haskell-void 0.7.3-152
haskell-xml-conduit 1.9.1.1-118
haskell-xml-types 0.3.8-8
haskell-zlib 0.6.3.0-9
haveged 1.9.18-1
hdf5 1.12.2-1
hdparm 9.63-2
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hplip 1:3.22.4-2
htop 3.2.1-1
http-parser 2.9.4-1
hunspell 1.7.0-4
hw-probe 1.6-1
hwdata 0.360-1
hwinfo 21.81-1
hwloc 2.7.1-1
hyphen 2.8.8-4
i2c-tools 4.3-3
i3-gaps 4.20.1-2
i3lock-color 2.13.c.4-1
i3status 2.14-1
iana-etc 20220603-1
ibus 1.5.26-2
icaclient 22.5.0.16-1
icu 71.1-1
id3lib 3.8.3-18
ijs 0.35-4
imagemagick 7.1.0.37-1
imath 3.1.5-2
imlib2 1.9.0-3
inetutils 2.2-1
iniparser 4.1-4
intel-ucode 20220510-1
intltool 0.51.0-6
inxi 3.3.17.1-1
iproute2 5.18.0-1
iptables-nft 1:1.8.8-1
iputils 20211215-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
irssi 1.2.3-3
iso-codes 4.10.0-1
itstool 1:2.0.7-1
iw 5.19-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.4-1
java-environment-common 3-3
java-runtime-common 3-3
java11-openjfx 11.0.15.u2-1
jbig2dec 0.19-1
jdk-openjdk 18.0.1.1.u2-1
